frp,brightness,brightness_ti5,temp_delta_ti4_ti5,confidence,is_night,facility_distance_m,facility_type_encoded,persistence_score,anomaly_score,cluster_density_3km,historical_recurrence,target
6.76,311.23,307.56,3.67,0.786,0,13147.4,0,0.047,0.304,5,1,2
7.57,317.26,308.36,8.91,0.429,0,2454.4,0,0.102,0.122,0,1,5
7.94,330.97,321.98,8.99,0.666,0,11578.8,0,0.118,0.35,10,0,2
30.75,329.34,317.89,11.44,0.669,0,739.1,6,0.726,0.632,4,5,3
36.85,329.7,312.25,17.45,0.619,0,255.1,6,0.612,0.48,1,3,3
71.88,358.24,331.02,27.22,0.765,1,14956.3,0,0.495,0.898,9,2,4
33.27,357.05,326.25,30.8,0.838,1,13.1,2,0.896,0.335,2,11,1
10.53,327.32,315.24,12.08,0.653,1,14697.9,0,0.05,0.144,7,0,2
30.73,313.47,279.06,34.41,0.758,1,54.2,5,0.408,0.783,3,4,0
41.84,355.18,321.45,33.73,0.944,1,397.5,2,0.437,0.979,3,1,0
50.41,354.54,320.24,34.29,0.85,0,136.6,2,0.058,0.779,1,3,0
6.29,312.86,293.75,19.11,0.85,0,8098.4,0,0.152,0.411,14,1,2
37.8,302.46,279.89,22.57,0.863,0,271.3,1,0.239,0.924,1,0,0
23.25,343.88,318.26,25.62,0.959,0,245.2,5,0.174,0.81,3,1,0
21.48,356.73,322.15,34.58,0.997,0,98.8,1,0.772,0.524,3,9,1
20.69,345.29,301.45,43.85,0.931,1,32.4,3,0.621,0.441,3,12,1
98.71,383.63,365.14,18.49,0.844,1,3153.2,0,0.347,0.766,18,2,4
8.49,326.69,315.18,11.5,0.683,0,8679.8,0,0.175,0.36,8,3,2
33.88,362.23,324.16,38.06,0.964,1,157.3,1,0.621,0.437,4,11,1
8.73,316.42,299.63,16.8,0.784,0,14690.9,0,0.193,0.157,5,0,2
35.1,367.77,329.36,38.41,0.926,1,131.5,1,0.702,0.354,3,15,1
12.4,331.41,312.78,18.63,0.759,0,317.1,6,0.554,0.356,2,0,3
28.1,347.38,309.85,37.53,0.905,0,46.4,2,0.734,0.453,4,15,1
20.26,379.14,348.29,30.85,0.897,1,27.0,1,0.966,0.354,1,6,1
65.81,369.38,340.16,29.22,0.927,0,5180.8,0,0.403,0.871,13,1,4
52.97,377.92,357.2,20.72,0.756,1,90.2,3,0.065,0.887,7,2,0
24.89,315.79,295.18,20.61,0.816,1,664.1,6,0.428,0.546,3,4,3
5.32,303.74,291.39,12.35,0.9,0,5639.4,0,0.185,0.358,6,2,2
10.92,327.8,321.22,6.59,0.86,0,8389.3,0,0.142,0.412,5,2,2
9.86,331.9,315.4,16.5,0.881,0,10149.6,0,0.173,0.107,12,2,2
12.16,321.36,318.06,3.3,0.883,0,12245.3,0,0.049,0.214,5,1,2
166.69,337.95,315.98,21.97,0.833,1,15533.9,0,0.403,0.916,9,0,4
9.22,327.59,308.84,18.75,0.824,0,5058.6,0,0.05,0.414,8,3,2
17.62,343.28,328.83,14.45,0.791,0,677.9,6,0.734,0.433,6,8,3
13.04,318.36,304.34,14.02,0.594,0,2208.0,0,0.149,0.297,8,6,2
1.77,312.25,301.14,11.11,0.309,1,1607.8,7,0.247,0.15,1,0,5
28.47,343.67,320.37,23.31,0.943,1,29.3,2,0.202,0.972,5,0,0
20.07,298.1,286.85,11.25,0.416,1,7318.9,0,0.02,0.317,0,0,5
25.58,337.61,328.44,9.17,0.586,0,10538.1,0,0.137,0.44,11,0,2
32.34,346.33,320.27,26.06,0.966,1,265.8,5,0.334,0.842,6,3,0
77.06,346.03,324.9,21.12,0.749,0,254.5,2,0.132,0.946,5,1,0
10.45,321.58,309.31,12.27,0.774,0,3181.2,0,0.204,0.206,13,3,2
23.36,336.49,322.77,13.72,0.818,1,300.2,7,0.6,0.429,2,3,3
8.62,318.11,306.4,11.71,0.522,0,4669.4,0,0.061,0.298,7,4,2
11.24,286.53,281.17,5.36,0.594,0,1728.7,0,0.12,0.228,8,2,2
25.08,336.85,310.87,25.97,0.956,0,66.9,2,0.818,0.394,1,9,1
9.99,299.73,293.54,6.19,0.706,0,6277.7,0,0.051,0.189,6,1,2
11.92,353.68,321.26,32.42,0.868,1,84.0,2,0.749,0.316,3,10,1
115.42,355.73,320.24,35.49,0.932,0,6507.7,0,0.484,0.718,14,2,4
63.28,355.84,334.67,21.18,0.822,1,82.5,2,0.252,0.881,2,2,0
23.49,315.09,304.92,10.18,0.813,1,146.0,6,0.605,0.635,2,2,3
18.48,353.85,321.56,32.29,0.945,0,265.2,5,0.15,0.712,2,0,0
17.62,317.54,303.35,14.19,0.888,0,10061.3,0,0.202,0.198,4,2,2
9.34,332.94,309.5,23.44,0.773,0,14309.4,0,0.112,0.239,8,1,2
13.32,315.37,305.39,9.98,0.673,0,2800.3,0,0.195,0.148,10,0,2
19.9,333.1,316.2,16.9,0.873,1,246.2,4,0.66,0.698,1,4,3
16.16,343.08,293.65,49.42,0.909,0,29.4,1,0.746,0.52,2,15,1
13.84,309.9,302.98,6.92,0.605,0,9783.4,0,0.148,0.369,6,1,2
7.79,313.33,302.02,11.31,0.505,0,13665.0,0,0.155,0.402,7,1,2
4.73,300.43,289.89,10.54,0.472,1,4643.3,0,0.161,0.273,1,1,5
36.71,353.86,335.64,18.21,0.85,0,39.6,2,0.405,0.859,4,1,0
4.89,295.86,291.49,4.37,0.345,0,2896.8,8,0.12,0.377,0,1,5
26.53,353.38,335.13,18.25,0.885,1,51.9,2,0.089,0.763,6,1,0
27.06,310.21,298.22,11.98,0.699,0,6527.6,0,0.047,0.12,8,1,2
10.45,319.81,315.55,4.26,0.757,0,14729.7,0,0.028,0.346,9,1,2
22.59,371.32,360.32,11.01,0.759,0,125.4,7,0.154,0.943,2,1,0
75.38,335.12,313.68,21.43,0.802,0,564.4,3,0.34,0.752,5,0,0
75.65,356.47,316.5,39.97,0.838,0,9408.4,0,0.229,0.727,16,0,4
51.97,344.45,303.31,41.14,0.871,0,11.3,1,0.712,0.466,4,14,1
47.78,330.03,319.57,10.46,0.954,1,169.3,1,0.384,0.746,1,0,0
50.02,346.22,314.54,31.68,0.978,0,21.6,2,0.192,0.83,4,2,0
18.99,354.43,330.95,23.48,0.836,0,309.3,6,0.506,0.482,6,1,3
3.74,306.88,299.5,7.38,0.302,1,3617.2,0,0.232,0.165,2,1,5
12.92,325.63,310.68,14.95,0.865,1,12005.5,0,0.227,0.159,6,1,2
3.41,320.66,308.17,12.48,0.559,0,2678.0,0,0.262,0.223,2,0,5
106.47,344.91,323.05,21.86,0.863,1,21374.9,0,0.293,0.901,11,0,4
10.85,315.61,295.01,20.6,0.538,0,14212.6,0,0.042,0.34,8,1,2
17.53,301.41,285.0,16.42,0.768,0,3001.1,0,0.142,0.258,12,1,2
7.45,322.77,312.1,10.68,0.78,0,3351.8,0,0.135,0.321,9,0,2
33.15,349.34,308.04,41.3,0.915,0,93.9,2,0.705,0.514,2,13,1
71.47,346.46,309.78,36.68,0.99,1,5297.3,0,0.427,0.825,22,0,4
44.25,325.24,290.21,35.03,0.826,1,164.6,5,0.094,0.811,4,0,0
74.93,377.79,348.77,29.02,0.761,0,14224.2,0,0.327,0.746,10,1,4
12.96,329.85,320.4,9.46,0.518,0,9054.0,0,0.134,0.186,12,1,2
61.54,346.11,324.02,22.1,0.829,1,30.8,1,0.429,0.767,2,4,0
41.68,326.16,306.96,19.19,0.979,1,437.5,7,0.249,0.766,2,1,0
63.3,350.3,300.98,49.32,0.987,1,18503.9,0,0.318,0.761,12,0,4
18.46,335.23,316.29,18.94,0.605,0,3417.7,6,0.456,0.38,5,4,3
7.2,305.89,302.02,3.87,0.371,1,6706.3,7,0.17,0.356,4,1,5
12.83,332.25,322.26,10.0,0.658,0,9553.5,0,0.184,0.327,7,2,2
30.09,355.8,336.6,19.2,0.718,1,110.8,1,0.448,0.716,4,0,0
8.87,322.72,320.78,1.93,0.771,0,14992.3,0,0.145,0.308,11,0,2
9.54,345.03,327.49,17.54,0.773,0,1872.2,0,0.217,0.232,5,3,2
26.36,340.26,316.56,23.7,0.847,1,83.6,2,0.772,0.283,3,12,1
72.25,359.83,327.59,32.23,0.947,1,9716.2,0,0.367,0.712,12,1,4
8.93,344.13,299.18,44.95,0.953,1,0.5,1,0.71,0.276,3,12,1
61.08,349.46,323.55,25.9,0.985,1,79.5,3,0.15,0.858,3,0,0
11.15,314.14,309.47,4.67,0.25,1,5591.9,0,0.2,0.146,1,1,5
37.2,362.55,334.55,28.01,0.964,1,131.2,2,0.177,0.822,6,2,0
2.18,310.64,297.46,13.18,0.334,0,3093.5,0,0.113,0.223,0,0,5
11.1,318.5,308.83,9.67,0.82,0,13607.3,0,0.202,0.294,6,0,2
80.32,341.64,311.35,30.29,0.898,0,35.8,1,0.143,0.97,5,1,0
1.5,300.65,293.37,7.28,0.528,0,2407.9,0,0.178,0.202,0,1,5
38.12,376.76,337.07,39.68,0.971,0,41.0,2,0.69,0.549,2,11,1
35.37,360.54,337.76,22.78,0.873,0,238.6,6,0.559,0.682,4,4,3
2.92,322.78,315.91,6.87,0.528,0,3629.4,7,0.069,0.102,3,3,5
10.55,326.65,313.5,13.15,0.693,1,3153.5,0,0.12,0.189,7,2,2
139.29,367.92,332.06,35.86,0.911,1,9961.6,0,0.206,0.919,17,2,4
16.52,324.84,296.55,28.29,0.859,1,158.7,1,0.915,0.371,3,17,1
134.78,361.46,331.71,29.76,0.849,0,6970.7,0,0.367,0.847,11,0,4
2.84,325.86,314.07,11.79,0.484,1,4482.6,0,0.014,0.201,2,0,5
10.35,306.55,292.59,13.96,0.83,0,11028.1,0,0.036,0.103,7,1,2
50.75,316.75,298.27,18.47,0.991,1,77.4,1,0.257,0.76,7,1,0
12.55,336.8,301.28,35.53,0.919,1,363.8,1,0.766,0.435,5,9,1
20.84,338.56,325.11,13.45,0.65,0,8154.4,0,0.176,0.355,9,1,2
22.63,334.43,313.77,20.66,0.907,1,40.2,1,0.287,0.72,2,4,0
22.64,376.65,336.41,40.24,0.998,1,8.6,1,0.668,0.211,2,8,1
10.85,329.46,325.37,4.09,0.694,0,6427.8,0,0.117,0.361,10,0,2
49.42,324.63,305.16,19.47,0.796,0,90.7,1,0.275,0.894,4,0,0
17.14,332.11,324.11,7.99,0.757,0,445.7,7,0.461,0.536,5,11,3
59.4,352.33,332.96,19.38,0.803,0,50.1,3,0.41,0.786,5,0,0
42.26,359.03,333.74,25.3,0.891,0,13.4,2,0.174,0.89,3,3,0
51.38,353.93,332.31,21.62,0.779,0,193.4,1,0.205,0.875,2,0,0
15.61,329.36,321.26,8.1,0.536,0,13825.9,0,0.173,0.303,10,1,2
12.84,330.81,325.07,5.74,0.621,0,9426.2,0,0.063,0.192,11,0,2
12.16,373.24,337.64,35.6,0.852,1,51.0,2,0.805,0.39,4,13,1
19.53,295.96,291.66,4.3,0.834,0,7815.6,0,0.072,0.204,9,0,2
15.52,325.41,307.98,17.42,0.732,0,376.2,6,0.52,0.414,7,7,3
13.18,319.27,308.91,10.36,0.627,0,5778.6,0,0.223,0.279,5,0,2
8.63,328.57,314.0,14.57,0.628,1,5189.3,0,0.172,0.408,6,2,2
4.98,304.24,293.35,10.89,0.785,0,5150.4,0,0.043,0.355,6,1,2
5.44,312.68,302.41,10.27,0.69,1,8575.3,0,0.215,0.389,5,2,2
33.44,381.34,352.13,29.21,0.795,0,94.8,3,0.303,0.807,3,2,0
13.48,319.32,303.35,15.97,0.769,0,14047.3,0,0.105,0.289,7,2,2
1.76,305.38,295.78,9.59,0.239,0,7223.5,0,0.227,0.22,2,0,5
95.45,335.25,314.9,20.35,0.786,0,348.1,1,0.08,0.777,2,2,0
62.71,374.96,342.63,32.33,0.822,1,3412.7,0,0.496,0.773,13,3,4
22.49,394.0,351.15,42.85,0.866,0,202.6,1,0.785,0.422,1,15,1
17.8,314.95,297.1,17.85,0.699,1,2009.6,7,0.778,0.541,2,4,3
47.98,320.04,299.68,20.36,0.912,1,771.6,7,0.398,0.913,4,1,0
69.56,317.73,290.42,27.31,0.704,0,170.4,1,0.447,0.751,3,0,0
2.37,314.44,305.07,9.38,0.526,1,2577.5,0,0.187,0.066,0,1,5
4.83,306.72,303.17,3.56,0.351,0,2675.8,0,0.032,0.321,0,1,5
35.93,362.24,332.39,29.86,0.873,1,12.4,2,0.711,0.478,4,9,1
74.72,336.0,300.78,35.23,0.913,1,5970.3,0,0.467,0.918,13,1,4
108.87,381.99,346.32,35.67,0.791,1,19991.8,0,0.367,0.899,11,0,4
65.49,362.92,330.57,32.36,0.838,0,16156.4,0,0.258,0.672,9,2,4
9.02,310.45,305.09,5.36,0.535,0,6658.3,0,0.037,0.227,7,1,2
16.87,317.24,312.01,5.22,0.325,0,5527.3,0,0.173,0.124,1,0,5
17.02,328.44,321.44,7.0,0.743,0,2062.0,0,0.062,0.156,8,0,2
46.4,343.28,304.63,38.64,0.883,0,98.4,5,0.24,0.977,3,4,0
107.59,393.04,357.6,35.44,0.874,1,7752.4,0,0.446,0.873,11,0,4
16.16,338.16,331.73,6.43,0.855,0,7949.5,0,0.232,0.293,9,2,2
3.5,305.09,296.24,8.85,0.29,0,4429.7,0,0.173,0.211,0,0,5
42.47,354.91,327.54,27.37,0.974,0,314.0,2,0.318,0.838,2,1,0
3.36,303.18,300.15,3.03,0.474,0,1870.2,0,0.181,0.145,3,0,5
74.1,305.1,279.15,25.94,0.741,1,90.8,1,0.113,0.966,5,2,0
42.97,305.51,269.14,36.37,0.83,0,43.3,1,0.17,0.91,4,3,0
16.45,363.43,331.29,32.14,0.932,1,60.4,1,0.819,0.319,3,12,1
10.6,357.7,348.47,9.22,0.82,0,7945.2,0,0.217,0.264,6,1,2
6.06,318.91,306.15,12.76,0.78,1,2674.9,0,0.204,0.408,6,0,2
13.73,349.93,327.07,22.86,0.777,0,2039.2,6,0.783,0.644,4,11,3
9.93,332.66,314.08,18.58,0.864,0,8555.7,0,0.055,0.259,13,1,2
74.54,369.7,343.85,25.85,0.934,0,226.3,5,0.188,0.748,1,1,0
13.96,323.42,307.43,15.99,0.812,0,5729.7,0,0.109,0.401,8,1,2
87.51,380.06,345.44,34.62,0.857,1,9818.5,0,0.318,0.889,12,0,4
23.69,330.52,314.57,15.95,0.62,0,1047.9,6,0.538,0.656,6,7,3
8.08,314.18,302.54,11.64,0.237,0,3475.1,7,0.172,0.109,0,0,5
14.47,317.59,307.52,10.06,0.788,0,9886.6,0,0.112,0.352,10,2,2
74.76,340.5,301.95,38.55,0.834,1,15669.8,0,0.366,0.661,11,0,4
30.06,310.32,290.62,19.7,0.845,0,208.4,6,0.653,0.496,3,5,3
9.79,357.89,329.44,28.45,0.971,1,57.0,3,0.852,0.485,5,14,1
3.66,316.47,305.83,10.64,0.538,1,7957.8,0,0.012,0.304,2,1,5
20.85,329.9,308.0,21.89,0.805,0,615.9,7,0.806,0.508,5,7,3
10.61,325.37,309.18,16.19,0.526,1,6307.2,0,0.108,0.13,10,2,2
30.34,316.34,283.42,32.92,0.825,1,66.7,7,0.122,0.886,3,2,0
4.8,332.62,321.69,10.94,0.88,0,10945.7,0,0.046,0.414,8,3,2
30.95,314.19,303.42,10.78,0.621,0,711.4,6,0.779,0.566,2,5,3
24.44,297.38,282.57,14.8,0.79,0,11134.1,0,0.154,0.393,8,5,2
2.68,328.05,313.05,15.0,0.789,0,7135.4,0,0.208,0.329,9,1,2
19.63,320.18,300.67,19.51,0.518,0,4377.9,0,0.078,0.338,9,1,2
103.3,342.35,293.17,49.18,0.936,0,19043.0,0,0.443,0.835,13,2,4
13.63,372.56,348.44,24.12,0.833,1,41.8,1,0.835,0.424,6,13,1
12.15,308.3,294.1,14.21,0.8,0,5819.9,0,0.138,0.31,5,1,2
6.8,319.05,310.22,8.83,0.569,0,4788.7,0,0.231,0.351,1,1,5
11.61,331.4,307.73,23.67,0.633,0,644.7,6,0.513,0.679,4,2,3
17.23,343.37,336.8,6.57,0.639,0,10580.8,0,0.241,0.334,11,0,2
21.06,335.18,323.28,11.9,0.701,0,13388.8,0,0.242,0.292,10,1,2
17.94,343.33,326.33,17.0,0.778,1,1081.3,7,0.71,0.691,2,4,3
16.43,348.88,314.81,34.07,0.905,1,5.8,1,0.916,0.502,2,9,1
32.14,329.73,322.83,6.9,0.7,0,13610.8,0,0.073,0.319,7,0,2
32.05,340.89,325.14,15.75,0.655,1,1231.5,7,0.459,0.628,7,7,3
3.7,311.61,308.24,3.37,0.344,0,1810.3,0,0.294,0.148,0,1,5
18.85,318.15,307.24,10.91,0.837,0,14496.3,0,0.111,0.413,9,0,2
20.02,341.28,319.96,21.32,0.748,0,523.5,6,0.689,0.625,2,6,3
12.31,311.19,301.3,9.89,0.513,0,2311.6,0,0.24,0.298,12,1,2
57.49,319.51,298.36,21.14,0.75,0,243.7,3,0.317,0.766,5,2,0
19.04,328.99,313.69,15.3,0.762,0,14423.5,0,0.145,0.178,5,2,2
15.82,367.47,355.73,11.74,0.915,1,384.6,6,0.578,0.544,5,2,3
8.11,363.57,334.83,28.74,0.929,1,55.6,2,0.92,0.261,5,13,1
42.5,320.57,300.15,20.42,0.846,1,1737.7,7,0.64,0.424,3,3,3
22.96,295.94,288.9,7.04,0.754,0,3193.6,0,0.211,0.266,9,1,2
19.16,333.28,323.03,10.25,0.892,0,8982.8,0,0.022,0.103,8,4,2
24.76,336.99,307.41,29.58,0.713,1,352.5,6,0.825,0.66,3,5,3
3.41,330.22,316.54,13.68,0.534,1,5379.2,0,0.042,0.307,2,0,5
4.97,300.98,284.69,16.3,0.84,0,10663.0,0,0.143,0.115,11,2,2
14.03,367.72,334.35,33.37,0.823,1,107.7,2,0.967,0.463,2,9,1
29.33,299.41,285.33,14.08,0.776,0,12174.6,0,0.185,0.175,9,2,2
3.2,316.7,306.92,9.77,0.322,0,2494.5,0,0.286,0.171,2,2,5
7.91,343.22,316.91,26.31,0.821,1,3.0,1,0.769,0.292,2,12,1
18.35,313.44,314.2,-0.76,0.435,0,6588.6,0,0.281,0.312,0,1,5
81.01,352.86,316.84,36.02,0.762,0,21925.9,0,0.267,0.717,13,0,4
81.88,357.95,338.98,18.96,0.755,1,11243.1,0,0.216,0.931,12,1,4
11.58,319.16,302.66,16.5,0.796,0,12181.0,0,0.244,0.244,9,4,2
78.34,333.1,302.4,30.71,0.962,0,87.6,1,0.328,0.73,3,1,0
14.92,343.36,322.53,20.83,0.911,0,249.3,6,0.512,0.517,2,3,3
34.15,354.75,316.96,37.79,0.962,0,414.2,1,0.609,0.386,3,12,1
25.32,343.42,327.95,15.47,0.778,1,653.7,6,0.449,0.555,4,3,3
15.96,319.33,305.42,13.91,0.728,0,5334.7,0,0.029,0.148,8,3,2
111.92,355.29,332.14,23.15,0.916,1,21893.7,0,0.353,0.716,15,1,4
5.2,326.1,316.6,9.49,0.809,0,5841.9,0,0.181,0.443,6,2,2
2.81,320.3,311.94,8.36,0.242,1,1411.7,0,0.221,0.164,0,0,5
77.13,394.62,373.87,20.76,0.985,1,10103.0,0,0.337,0.808,18,1,4
31.75,340.22,301.21,39.0,0.97,1,103.5,1,0.861,0.206,3,14,1
79.99,357.94,346.03,11.92,0.788,1,10176.4,0,0.37,0.89,7,0,4
8.58,308.34,298.97,9.36,0.289,0,5794.7,0,0.163,0.392,0,1,5
28.74,339.26,316.17,23.08,0.882,0,501.1,6,0.704,0.437,5,5,3
64.18,375.19,353.24,21.95,0.822,1,62.2,1,0.192,0.858,3,1,0
15.83,324.55,309.75,14.8,0.507,0,8400.2,0,0.214,0.423,10,0,2
7.54,333.05,329.22,3.83,0.61,0,11879.3,0,0.167,0.175,9,1,2
14.23,320.79,309.55,11.24,0.848,0,13555.7,0,0.234,0.257,7,2,2
2.6,318.14,309.56,8.59,0.585,1,3804.1,0,0.177,0.28,0,1,5
15.59,312.13,301.69,10.44,0.857,0,2035.7,0,0.208,0.246,8,3,2
43.67,380.53,365.25,15.28,0.912,1,3492.9,0,0.376,0.852,8,1,4
136.49,358.49,333.61,24.88,0.804,1,21787.6,0,0.479,0.949,14,0,4
39.76,329.41,306.71,22.7,0.762,0,217.5,6,0.436,0.411,1,7,3
62.05,350.06,326.19,23.87,0.73,1,53.4,1,0.173,0.925,4,0,0
8.0,318.42,306.25,12.17,0.856,1,9768.6,0,0.047,0.426,5,0,2
15.5,334.91,313.75,21.17,0.621,0,171.1,6,0.609,0.408,3,1,3
10.84,335.61,319.8,15.81,0.503,0,14146.0,0,0.246,0.26,5,3,2
8.89,324.04,312.23,11.81,0.508,0,2811.0,0,0.038,0.215,11,4,2
19.96,348.79,302.01,46.78,0.81,0,15.1,3,0.623,0.235,2,8,1
13.06,312.12,302.23,9.89,0.76,0,11649.1,0,0.077,0.106,9,1,2
100.29,362.0,337.42,24.58,0.812,1,15428.2,0,0.474,0.836,11,2,4
11.95,335.3,321.63,13.67,0.622,0,8464.3,0,0.234,0.294,4,3,2
6.32,300.42,291.8,8.62,0.203,0,4866.4,0,0.168,0.292,1,1,5
33.49,332.93,301.18,31.76,0.913,1,21.8,1,0.102,0.936,3,3,0
5.24,312.25,305.29,6.96,0.571,0,2274.0,8,0.05,0.218,1,1,5
13.96,308.08,294.71,13.37,0.897,0,11064.3,0,0.2,0.411,7,0,2
9.7,313.41,304.1,9.3,0.634,1,9953.2,0,0.155,0.431,4,1,2
37.39,315.48,275.83,39.65,0.87,1,66.2,1,0.354,0.938,3,2,0
158.81,347.33,327.64,19.69,0.791,0,11644.4,0,0.164,0.735,15,2,4
10.08,323.39,313.43,9.96,0.592,0,13729.9,0,0.098,0.378,12,2,2
74.51,361.62,325.92,35.69,0.982,1,17085.0,0,0.463,0.872,19,0,4
19.21,301.01,285.76,15.25,0.894,0,7647.2,0,0.19,0.302,10,2,2
2.05,301.43,294.25,7.18,0.537,1,888.2,0,0.293,0.354,1,0,5
7.52,313.33,297.72,15.61,0.209,1,3333.9,0,0.204,0.282,0,0,5
14.3,345.38,326.39,18.99,0.88,0,1049.1,7,0.763,0.359,6,7,3
11.61,344.06,329.66,14.4,0.605,0,150.0,7,0.487,0.675,7,4,3
10.9,333.27,320.12,13.16,0.744,0,14697.1,0,0.09,0.35,6,0,2
30.84,325.77,309.74,16.03,0.625,1,757.9,6,0.709,0.676,2,6,3
109.93,373.44,335.06,38.38,0.765,0,21516.7,0,0.414,0.753,14,1,4
29.67,323.87,306.17,17.7,0.626,0,240.1,6,0.604,0.561,3,5,3
34.06,342.07,292.73,49.34,0.955,1,13.4,1,0.7,0.388,1,11,1
8.35,316.19,299.44,16.75,0.838,0,5333.4,0,0.217,0.252,8,2,2
5.32,315.49,306.84,8.65,0.524,0,6746.1,7,0.083,0.163,2,1,5
6.96,307.12,294.78,12.33,0.544,0,7245.0,0,0.124,0.349,13,2,2
37.8,346.13,325.73,20.4,0.715,0,214.1,6,0.52,0.658,1,2,3
50.29,371.17,346.01,25.17,0.936,1,14299.8,0,0.312,0.855,13,1,4
16.98,314.7,302.74,11.96,0.875,0,5871.3,0,0.103,0.41,8,2,2
42.01,362.51,324.2,38.31,0.998,0,55.6,3,0.636,0.383,3,14,1
5.62,323.47,316.33,7.13,0.895,0,2403.8,0,0.11,0.231,10,3,2
26.37,353.06,320.84,32.21,0.924,1,157.3,1,0.946,0.306,6,10,1
12.39,312.4,291.94,20.46,0.78,1,496.3,6,0.589,0.578,4,7,3
6.24,316.99,302.29,14.7,0.711,0,3120.7,0,0.058,0.29,15,2,2
76.06,332.16,316.45,15.71,0.939,1,268.8,2,0.164,0.927,2,0,0
18.89,332.21,316.41,15.8,0.808,0,7183.1,0,0.022,0.395,8,0,2
2.75,324.18,318.84,5.34,0.374,0,3903.9,7,0.182,0.073,0,0,5
13.28,340.86,323.68,17.18,0.611,1,143.3,7,0.468,0.447,4,6,3
68.59,392.08,369.16,22.91,0.843,1,23403.6,0,0.223,0.836,10,1,4
10.17,291.77,289.81,1.96,0.554,1,6602.1,7,0.157,0.085,3,0,5
58.56,292.07,255.33,36.74,0.917,1,26.0,1,0.193,0.925,2,1,0
30.84,358.34,334.51,23.83,0.73,1,5.3,3,0.106,0.965,4,2,0
104.48,363.34,327.49,35.84,0.755,1,10.5,3,0.272,0.883,9,0,0
6.7,330.38,318.58,11.8,0.815,0,7960.1,0,0.207,0.381,10,2,2
2.18,306.71,293.52,13.19,0.458,1,2409.1,0,0.089,0.285,0,1,5
10.67,330.11,321.29,8.82,0.804,0,3290.5,0,0.141,0.338,8,1,2
24.5,341.6,323.22,18.38,0.74,0,452.2,4,0.468,0.403,7,3,3
44.46,352.33,321.85,30.48,0.981,1,410.8,1,0.301,0.916,5,1,0
11.7,363.12,318.43,44.69,0.846,1,392.1,2,0.971,0.525,2,15,1
45.91,348.34,313.3,35.04,0.895,0,2.7,7,0.15,0.889,4,3,0
10.3,310.42,306.19,4.23,0.372,1,2791.1,7,0.133,0.184,0,1,5
95.47,354.14,322.45,31.7,0.844,1,14059.8,0,0.114,0.84,14,1,4
4.73,335.79,325.23,10.56,0.85,1,2420.7,0,0.203,0.124,10,2,2
20.61,358.96,316.74,42.22,0.92,1,419.1,1,0.794,0.397,1,18,1
30.81,306.5,282.37,24.12,0.977,0,156.8,2,0.138,0.82,3,1,0
42.13,365.86,333.35,32.5,0.934,1,473.9,1,0.22,0.704,4,1,0
17.75,329.45,319.07,10.38,0.704,0,158.8,6,0.514,0.471,4,6,3
27.88,315.99,292.45,23.54,0.697,0,600.2,7,0.615,0.402,2,8,3
59.16,341.72,319.62,22.09,0.72,1,305.7,5,0.425,0.724,2,0,0
30.72,333.91,293.7,40.22,0.954,0,98.6,1,0.679,0.489,3,11,1
75.25,346.72,312.38,34.33,0.883,1,4.6,2,0.404,0.705,4,1,0
26.04,338.04,316.74,21.3,0.727,1,747.1,6,0.574,0.627,3,3,3
32.47,358.19,335.87,22.33,0.86,1,331.6,2,0.735,0.41,3,13,1
24.04,311.59,297.25,14.34,0.599,0,12441.5,0,0.073,0.405,9,0,2
36.91,360.34,320.33,40.01,0.97,1,246.0,2,0.71,0.546,4,10,1
14.75,304.98,287.24,17.74,0.9,1,332.4,6,0.714,0.404,2,7,3
16.47,359.61,317.65,41.96,0.89,1,57.4,1,0.736,0.344,2,10,1
67.11,322.35,298.66,23.69,0.919,0,76.6,3,0.243,0.907,3,0,0
11.23,302.97,287.48,15.49,0.694,0,7697.9,0,0.082,0.339,5,0,2
13.24,296.65,281.54,15.11,0.799,0,6255.1,0,0.167,0.306,9,2,2
21.81,300.65,291.42,9.23,0.807,0,14939.4,0,0.092,0.396,4,2,2
36.03,394.11,377.29,16.82,0.782,1,128.0,1,0.382,0.853,6,0,0
9.59,318.9,300.43,18.47,0.618,0,11996.6,0,0.026,0.194,14,2,2
18.76,311.66,297.77,13.89,0.691,0,14751.4,0,0.077,0.367,9,1,2
12.17,335.82,322.49,13.33,0.638,0,669.0,6,0.427,0.38,6,5,3
4.84,304.17,290.36,13.82,0.797,0,1600.7,0,0.146,0.247,7,3,2
4.27,318.77,302.08,16.69,0.77,1,11078.5,0,0.056,0.349,5,1,2
30.47,353.78,327.1,26.67,0.942,0,73.4,1,0.304,0.8,3,1,0
2.94,300.36,292.45,7.91,0.43,0,2172.4,0,0.16,0.112,0,0,5
65.32,364.62,341.86,22.77,0.898,0,215.1,3,0.096,0.919,3,0,0
19.49,329.17,313.85,15.32,0.775,0,495.7,6,0.435,0.505,3,3,3
12.57,309.05,293.25,15.8,0.675,0,5936.1,0,0.172,0.281,9,2,2
51.43,364.34,331.82,32.52,0.829,1,439.6,2,0.122,0.775,2,1,0
13.74,338.41,314.09,24.32,0.976,1,169.4,2,0.64,0.535,2,11,1
5.42,323.37,316.93,6.44,0.825,0,5461.9,0,0.237,0.158,4,1,2
